TEMPS	VO2	VCO2	FR	VT
1645	769.4572733	393.7006287	23.5941801	0.913893243
1648	800.6080193	425.2315211	22.67573696	0.955712019
1650	809.5902304	417.6253926	22.84843869	0.938372526
1653	638.0549345	307.5176489	23.81897578	0.776197274
1656	572.9042688	272.5420143	22.96211251	0.734378499
1659	640.6744002	310.8016571	21.40563682	0.81699608
1661	800.1997758	407.4611133	21.32954141	0.96387178
1664	962.9919996	491.7248954	22.05882353	1.071988614
1666	1026.542703	521.8181625	24.40016267	1.051589211
1669	682.0237732	331.7704445	23.72479241	0.772117394
1671	941.4206738	509.3934727	27.07581227	0.798636617
1673	930.335451	516.8899934	25.76212967	0.778237215
1676	1282.485845	710.9733904	26.67852379	1.030169839
1677	921.7626083	462.1158829	26.01908066	0.867994587
1680	858.3197404	404.9928603	27.53556677	0.823115901
1682	939.8660995	417.6977996	28.8184438	0.802716498
1684	879.3264383	386.2362094	27.39726027	0.801696528
1686	826.0723069	359.3581704	28.7218765	0.74559817
1688	726.4063747	313.3927724	28.5850405	0.698679544
1691	931.8082837	438.9960702	25.61912895	0.883294139
1708	1133.457735	528.600854	23.29192547	1.03730963
1711	1361.810456	638.6003924	22.42152466	1.199484881
1714	1402.302242	658.6741894	21.77068215	1.233143896
1717	1286.358643	631.4569931	20.5338809	1.275982642
1720	1034.3539	528.5429583	18.92744479	1.220904254
1724	843.7107041	452.2433655	18.44451276	1.127067002
1730	578.9266648	355.4935588	13.36302895	1.184185329
1733	608.4907241	372.9142657	14.48225923	1.131146882
1735	658.3280758	397.4051848	15.40041068	1.135226763
1738	1041.95624	532.4379126	23.84737679	1.035269689
1740	1168.271217	595.2634966	24.10606669	1.104627659
1742	1184.968567	571.1386983	26.9541779	1.009770436
1744	1003.263611	488.8198178	30.15075377	0.842495333
1747	821.5747787	389.9914117	27.57352941	0.797616647
1749	716.7112393	353.7616932	24	0.800676558
1752	852.3063751	415.0418091	22.79635258	0.914913213
1754	707.6050487	330.4282906	25.35925613	0.747638111
1757	638.4811825	302.9672319	25.32714225	0.705819335
1759	470.012664	209.0039333	24.70152326	0.589542739
